descricao,valor,totalParcelas,dataLancamento,dataVencimento,contaId,categoriaId,clienteId,fornecedorId
Pagamento de aluguel,1200.00,,2026-06-01T00:00:00,2026-06-30T23:59:59,1,1,,
Conta de agua,85.50,,2026-06-01T00:00:00,2026-06-15T23:59:59,1,1,,
Conta de luz,320.00,,2026-06-01T00:00:00,2026-06-20T23:59:59,1,1,,
Compra de notebook,4500.00,3,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Pagamento de seguro,450.00,,2026-06-01T00:00:00,2026-06-30T23:59:59,9999,1,,
Internet mensal,150.00,,2026-06-01T00:00:00,2026-06-25T23:59:59,1,1,,
Telefone corporativo,89.90,,2026-06-02T00:00:00,2026-06-25T23:59:59,1,1,,
Equipamento de escritorio,2400.00,4,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Combustivel,180.00,,2026-06-03T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de limpeza,600.00,,2026-06-15T00:00:00,2026-06-01T23:59:59,1,1,,
Material de escritorio,95.40,,2026-06-04T00:00:00,2026-06-30T23:59:59,1,1,,
Assinatura de software,299.90,,2026-06-05T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de contabilidade,800.00,,2026-06-05T00:00:00,2026-06-30T23:59:59,1,1,,
Mobiliario de escritorio,3600.00,6,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Taxa bancaria mensal,45.00,,2026-06-06T00:00:00,2026-06-30T23:59:59,9999,1,,
Servico de manutencao,250.00,,2026-06-06T00:00:00,2026-06-30T23:59:59,1,1,,
Publicidade online,500.00,,2026-06-07T00:00:00,2026-06-30T23:59:59,1,1,,
Fornecimento de papel,75.00,,2026-06-07T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de seguranca,400.00,,2026-06-08T00:00:00,2026-06-30T23:59:59,1,1,,
Salario de funcionario,2500.00,,2026-06-20T00:00:00,2026-06-10T23:59:59,1,1,,
Despesa de viagem,350.00,,2026-06-09T00:00:00,2026-06-30T23:59:59,1,1,,
Assinatura de jornal,49.90,,2026-06-09T00:00:00,2026-06-30T23:59:59,1,1,,
Veiculo comercial,18000.00,12,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Servico de TI,700.00,,2026-06-10T00:00:00,2026-06-30T23:59:59,1,1,,
Produto para revenda,1200.00,,2026-06-10T00:00:00,2026-06-30T23:59:59,1,9999,,
Manutencao de servidor,380.00,,2026-06-11T00:00:00,2026-06-30T23:59:59,1,1,,
Seguro de veiculo,320.00,,2026-06-11T00:00:00,2026-07-10T23:59:59,1,1,,
Agua mineral para escritorio,60.00,,2026-06-12T00:00:00,2026-06-30T23:59:59,1,1,,
Ar condicionado,5400.00,9,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Conserto de equipamento,420.00,,2026-06-12T00:00:00,2026-06-30T23:59:59,9999,1,,
Transporte de mercadoria,290.00,,2026-06-13T00:00:00,2026-06-30T23:59:59,1,1,,
Energia solar,1500.00,,2026-06-13T00:00:00,2026-07-13T23:59:59,1,1,,
Plano de saude,850.00,,2026-06-14T00:00:00,2026-06-30T23:59:59,1,1,,
Prestacao de emprestimo,1100.00,,2026-06-14T00:00:00,2026-06-30T23:59:59,1,1,,
Consultoria juridica,2000.00,,2026-06-25T00:00:00,2026-06-15T23:59:59,1,1,,
Material de limpeza,110.00,,2026-06-15T00:00:00,2026-06-30T23:59:59,1,1,,
Reforma do escritorio,12000.00,6,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Assinatura de antivirus,199.90,,2026-06-16T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de desentupimento,350.00,,2026-06-16T00:00:00,2026-06-30T23:59:59,1,1,,
Importacao de produto,3500.00,,2026-06-17T00:00:00,2026-07-17T23:59:59,1,9999,,
Cafe e alimentos,130.00,,2026-06-17T00:00:00,2026-06-30T23:59:59,1,1,,
Impressao de documentos,75.00,,2026-06-18T00:00:00,2026-06-30T23:59:59,1,1,,
Equipamento de seguranca,8400.00,4,2026-06-01T00:00:00,2026-06-10T23:59:59,1,1,,
Servico de limpeza mensal,480.00,,2026-06-18T00:00:00,2026-06-30T23:59:59,1,1,,
Aluguel de veiculo,670.00,,2026-06-19T00:00:00,2026-07-19T23:59:59,9999,1,,
Taxa de licenca,120.00,,2026-06-19T00:00:00,2026-06-30T23:59:59,1,1,,
Servico de courier,85.00,,2026-06-20T00:00:00,2026-06-30T23:59:59,1,1,,
Manutencao de ar condicionado,280.00,,2026-06-20T00:00:00,2026-06-30T23:59:59,1,1,,
Fardamento de funcionarios,560.00,,2026-06-21T00:00:00,2026-07-21T23:59:59,1,1,,
Royalties,2400.00,,2026-06-21T00:00:00,2026-07-21T23:59:59,1,9999,,
